snapshot_date,gender,collection,rank,title,category,season_tag,product_type,price,compare_at_price,on_sale,color_count,image,handle,tags
2026-07-13,W,bestsellers,31,Alosoft Crop Finesse Short Sleeve - White,SHORTS/SKIRT,SS,Women:Tops:Short Sleeves,68.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W1406R_00_b2_s1_a1_dSU26_m190.jpg?v=1777664593,w1406r-alosoft-crop-finesse-short-sleeve-white,aloversary20off;b:1:Best Seller;BuilderDropzoneStyle:ALOSOFT;BVCategory:Women;ChinaCatalog;Color:White:Color;ColorGroup:White;Content:Builder;FA21D2-family;Fabric:Alosoft;Filter:DisplaySize:1:XXS - XS
2026-07-13,W,bestsellers,32,7/8 High-Waist Airlift Legging - Emerald Isle,LEGGING,SEASONLESS,Women:Bottoms:Leggings,134.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W5766R_07951_b2_s1_a2_dSU26_m191.jpg?v=1783017481,w5766r-7-8-high-waist-airlift-legging-emerald-isle,b:1:Best Seller;b:3:New;BuilderDropzoneStyle:ARLTRISE;BVCategory:Women;Color:Emerald Isle:Color;ColorGroup:Green;ColorwayType:Limited;Content:Builder;Fabric:Airlift;Filter:DisplaySize:1:XXS - XS;Filte
2026-07-13,W,bestsellers,33,Airbrush Splendor Dress - Azure Blue,LEGGING,SS,Women:One Piece:Dresses,138.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W8346R_04830_b2_s1_a1_dSU26_m269.png?v=1781007749,w8346r-airbrush-splendor-dress-azure-blue,b:1:Best Seller;BuilderDropzoneStyle:AIRBRUSH;BVCategory:Women;Color:Azure Blue:Color;ColorGroup:Blue;ColorwayType:Limited;Content:Builder;Fabric:Airbrush;Filter:DisplaySize:1:XXS - XS;Filter:DisplayS
2026-07-13,W,bestsellers,34,Accolade Short - Summer Romance Red,SHORTS/SKIRT,SS,Women:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W6472RG_07952_b2_s1_a1_dSU26_m143.png?v=1779863171,w6472rg-accolade-short-summer-romance-red,AccoladeBoostBury;b:1:Best Seller;BVCategory:Women;Color:Summer Romance Red:Color;ColorGroup:Red;ColorwayType:Limited;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medi
2026-07-13,W,bestsellers,35,Airbrush Heart Throb Bra - White/Black,LEGGING,SS,Women:Bras,88.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W9680R_0001_b2_s1_a1_dSU26_m18.png?v=1778516809,w9680r-airbrush-heart-throb-bra-white-black,b:1:Best Seller;BIScollection;BuilderDropzoneStyle:AIRBRUSH;BVCategory:Women;ChinaCatalog;Color:White:Color;ColorGroup:White;Content:Builder;Fabric:Airbrush;Filter:DisplaySize:1:XXS - XS;Filter:Displa
2026-07-13,W,bestsellers,36,Cotton Real Deal Button Up Long Sleeve - White,TOP,SEASONLESS,Women:Tops:Long Sleeves,118.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W3970R_00_b2_s1_a1_dSU26_m122.png?v=1778517074,w3970r-cotton-real-deal-button-up-long-sleeve-white,b:1:Back in Stock;b:1:Best Seller;BIScollection;BVCategory:Women;Color:White:Color;ColorGroup:White;FA25-Campaign;FA25D1-family;FA25Drops-family;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Smal
2026-07-13,W,bestsellers,37,Match Point Short - Navy,SHORTS/SKIRT,SS,Women:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W6344R_03842_b2_s1_a1_dSP26_m54.jpg?v=1782250851,w6334r-match-point-short-navy,b:1:Best Seller;BIScollection;BVCategory:Women;ChinaCatalog;Color:Navy:Color;ColorGroup:Blue;ColorwayType:Limited;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;F
2026-07-13,W,bestsellers,38,Accolade Crew Neck Pullover - Espresso,FLEECE/KNIT,FW,Women:Outerwear:Coverups:Pullovers,138.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/U3031RG_04064_b2_s1_a1_dSU26_m190.jpg?v=1777665950,u3031rg-accolade-crew-neck-pullover-espresso,AA25-PDPselects;AccoladeBoostBury;b:1:Best Seller;BR:unisex;builderdropzonestyle:FYFACREW;BVCategory:Women;Color:Espresso:Color;ColorGroup:Brown;content:builder;FA24D7-family;Filter:DisplaySize:1:XXS 
2026-07-13,W,bestsellers,39,Accolade Short - Black,SHORTS/SKIRT,SS,Women:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W6472RG_01_b2_s1_a1_dWT25_m265.jpg?v=1776890407,w6472rg-accolade-short-black,AccoladeBoostBury;b:1:Best Seller;BVCategory:Women;Color:Black:Color;ColorGroup:Black;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:L - XL;F
2026-07-13,W,bestsellers,40,Aspire Tank - Azure Blue/White,BRA/TANK,SS,Women:Tops:Tanks,68.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/W2675RG_05594_b2_s1_a1_dSU26_m269.png?v=1781007307,w2675rg-aspire-tank-azure-blue-white,b:1:Best Seller;BVCategory:Women;Color:Azure Blue:Color;ColorGroup:Blue;ColorwayType:Limited;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:L
